ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UG67	9	F	Uganda	9	N	Mother	experimental	Y	0.11181706	N	N	N	N	N	N	NA	Y	NA
UG68	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG68	9	M	Uganda	9	N	Mother	experimental	Y	0.021975561	N	N	N	N	N	N	NA	Y	NA
UG69	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG69	9	F	Uganda	9	N	Mother	experimental	Y	0.04197561	N	N	N	N	N	N	NA	N	NA
UG70	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG70	9	F	Uganda	9	N	Mother	experimental	Y	0.186071397	N	N	N	N	N	N	NA	N	NA
UG71	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG71	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG72	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG72	9	M	Uganda	9	N	Mother	experimental	Y	0.181041667	Y	N	N	N	N	Y	Before	N	NA
UG73	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG73	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG74	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG74	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG75	9	F	Uganda	9	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG75	9	F	Uganda	9	NA	Mother	experimental	N	0	Y	Y	N	N	N	Y	Before	Y	NA
UG76	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG76	9	M	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG30	18	F	Uganda	18	NA	Mother	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG30	18	F	Uganda	18	N	Mother	experimental	N	0	N	N	Y	N	N	Y	Before	Y	NA
UG32	18	F	Uganda	18	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG32	18	F	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	0.094632124
UG33	18	F	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG33	18	F	Uganda	17	Y	Mother	experimental	Y	0.569569978	N	N	N	N	N	N	NA	Y	0.065475
UG34	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG34	18	F	Uganda	18	Y	Mother	experimental	Y	0.036363636	N	N	N	N	N	N	NA	Y	0
UG35	18	M	Uganda	18	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG35	18	M	Uganda	18	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG36	18	M	Uganda	18	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG36	18	M	Uganda	18	Y	Mother	experimental	Y	0.255576606	N	N	N	N	N	N	NA	Y	0
UG37	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG37	18	F	Uganda	18	Y	Mother	experimental	Y	0.126238095	N	N	N	N	N	N	NA	N	0.036431465
UG38	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG38	18	M	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	0
UG41	18	F	Uganda	17	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG41	18	F	Uganda	17	Y	Mother	experimental	Y	0.030635118	N	N	N	N	N	N	NA	Y	0.18019
UG42	18	M	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG42	18	M	Uganda	17	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0.045529412
UG44	18	M	Uganda	17	Y	Mother	control	N	0	N	N	N	N	N	N	NA	Y	NA
UG44	18	M	Uganda	17	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	0
UG46	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG46	18	F	Uganda	18	Y	Mother	experimental	Y	0.195639619	N	N	N	N	N	N	NA	N	0
UG47	18	M	Uganda	18	NA	Mother	control	N	0	N	Y	N	N	N	Y	NA	N	NA
UG47	18	M	Uganda	18	Y	Mother	experimental	N	0	Y	N	N	N	N	Y	After	Y	0
